t	A01:sig	A02:1sig'	A03:1sum	A04:1diff	A05:1ax1	A06:1ax2	A07:1ax3	A08:1ax4	A09:1ax5	D10:on	D11:ax
0.408203	-0.00676893	0	0	0	0	0	0	0	0	0	0
0.410156	-0.00645087	0	0	0	0	0	0	0	0	0	0
0.412109	-0.00557639	0	0	0	0	0	0	0	0	0	0
0.414062	-0.0041651	0	0	0	0	0	0	0	0	0	0
0.416016	-0.00228216	0	0	0	0	0	0	0	0	0	0
0.417969	-3.67935e-05	0	0	0	0	0	0	0	0	0	0
0.419922	0.00242409	0	0	0	0	0	0	0	0	0	0
0.421875	0.00492657	0	0	0	0	0	0	0	0	0	0
0.423828	0.00728375	0	0	0	0	0	0	0	0	0	0
0.425781	0.00931271	0	0	0	0	0	0	0	0	0	0
0.427734	0.0108511	0	0	0	0	0	0	0	0	0	0
0.429688	0.0117733	0	0	0	0	0	0	0	0	0	0
0.431641	0.0120028	0	0	0	0	0	0	0	0	0	0
0.433594	0.0115207	0	0	0	0	0	0	0	0	0	0
0.435547	0.0103684	0	0	0	0	0	0	0	0	0	0
0.4375	0.00864443	0	0	0	0	0	0	0	0	0	0
0.439453	0.00649591	0	0	0	0	0	0	0	0	0	0
0.441406	0.00410459	0	0	0	0	0	0	0	0	0	0
0.443359	0.00167085	0	0	0	0	0	0	0	0	0	0
0.445312	-0.000605089	0	0	0	0	0	0	0	0	0	0
0.447266	-0.00254002	0	0	0	0	0	0	0	0	0	0
0.449219	-0.0039833	0	0	0	0	0	0	0	0	0	0
0.451172	-0.00482725	0	0	0	0	0	0	0	0	0	0
0.453125	-0.00501359	0	0	0	0	0	0	0	0	0	0
0.455078	-0.00453373	0	0	0	0	0	0	0	0	0	0
0.457031	-0.00342467	0	0	0	0	0	0	0	0	0	0
0.458984	-0.00176103	0	0	0	0	0	0	0	0	0	0
0.460938	0.00035559	0	0	0	0	0	0	0	0	0	0
0.462891	0.00280806	0	0	0	0	0	0	0	0	0	0
0.464844	0.00547338	0	0	0	0	0	0	0	0	0	0
0.466797	0.00823124	0	0	0	0	0	0	0	0	0	0
0.46875	0.0109685	0	0	0	0	0	0	0	0	0	0
0.470703	0.0135805	0	0	0	0	0	0	0	0	0	0
0.472656	0.0159705	0	0	0	0	0	0	0	0	0	0
0.474609	0.018046	0	0	0	0	0	0	0	0	0	0
0.476562	0.0197155	0	0	0	0	0	0	0	0	0	0
0.478516	0.0208866	0	0	0	0	0	0	0	0	0	0
0.480469	0.0214662	0	0	0	0	0	0	0	0	0	0
0.482422	0.0213644	0	0	0	0	0	0	0	0	0	0
0.484375	0.0205024	0	0	0	0	0	0	0	0	0	0
0.486328	0.0188226	0	0	0	0	0	0	0	0	0	0
0.488281	0.0163016	0	0	0	0	0	0	0	0	0	0
0.490234	0.0129623	0	0	0	0	0	0	0	0	0	0
0.492188	0.00888474	0	0	0	0	0	0	0	0	0	0
0.494141	0.00421127	0	0	0	0	0	0	0	0	0	0
0.496094	-0.000852707	0	0	0	0	0	0	0	0	0	0
0.498047	-0.00604705	0	0	0	0	0	0	0	0	0	0
0.5	-0.0110706	0	0	0	0	0	0	0	0	0	0
0.501953	-0.0156026	0	0	0	0	0	0	0	0	0	0
0.503906	-0.0193283	0	0	0	0	0	0	0	0	0	0
0.505859	-0.0219659	0	0	0	0	0	0	0	0	0	0
0.507812	-0.0232928	0	0	0	0	0	0	0	0	0	0
0.509766	-0.0231675	0	0	0	0	0	0	0	0	0	0
0.511719	-0.0215445	0	0	0	0	0	0	0	0	0	0
0.513672	-0.0184799	0	0	0	0	0	0	0	0	0	0
0.515625	-0.0141285	0	0	0	0	0	0	0	0	0	0
0.517578	-0.0087304	0	0	0	0	0	0	0	0	0	0
0.519531	-0.00259116	0	0	0	0	0	0	0	0	0	0
0.521484	0.00394385	0	0	0	0	0	0	0	0	0	0
0.523438	0.0105173	0	0	0	0	0	0	0	0	0	0
0.525391	0.0167863	0	0	0	0	0	0	0	0	0	0
0.527344	0.0224454	0	0	0	0	0	0	0	0	0	0
0.529297	0.0272428	0	0	0	0	0	0	0	0	0	0
0.53125	0.0309906	0	0	0	0	0	0	0	0	0	0
0.533203	0.0335665	0	0	0	0	0	0	0	0	0	0
0.535156	0.0349102	0	0	0	0	0	0	0	0	0	0
0.537109	0.0350151	0	0	0	0	0	0	0	0	0	0
0.539062	0.0339175	0	0	0	0	0	0	0	0	0	0
0.541016	0.0316864	0	0	0	0	0	0	0	0	0	0
0.542969	0.0284147	0	0	0	0	0	0	0	0	0	0
0.544922	0.0242156	0	0	0	0	0	0	0	0	0	0
0.546875	0.0192195	0	0	0	0	0	0	0	0	0	0
0.548828	0.013578	0	0	0	0	0	0	0	0	0	0
0.550781	0.00746677	0	0	0	0	0	0	0	0	0	0
0.552734	0.00108932	0	0	0	0	0	0	0	0	0	0
0.554688	-0.005321	0	0	0	0	0	0	0	0	0	0
0.556641	-0.0115039	0	0	0	0	0	0	0	0	0	0
0.558594	-0.0171798	0	0	0	0	0	0	0	0	0	0
0.560547	-0.0220635	0	0	0	0	0	0	0	0	0	0
0.5625	-0.0258823	0	0	0	0	0	0	0	0	0	0
0.564453	-0.0283979	0	0	0	0	0	0	0	0	0	0
0.566406	-0.0294285	0	0	0	0	0	0	0	0	0	0
0.568359	-0.0288692	0	0	0	0	0	0	0	0	0	0
0.570312	-0.0267065	0	0	0	0	0	0	0	0	0	0
0.572266	-0.0230267	0	0	0	0	0	0	0	0	0	0
0.574219	-0.0180142	0	0	0	0	0	0	0	0	0	0
0.576172	-0.0119407	0	0	0	0	0	0	0	0	0	0
0.578125	-0.00514645	0	0	0	0	0	0	0	0	0	0
0.580078	0.00198556	0	0	0	0	0	0	0	0	0	0
0.582031	0.0090589	0	0	0	0	0	0	0	0	0	0
0.583984	0.0156931	0	0	0	0	0	0	0	0	0	0
0.585938	0.021551	0	0	0	0	0	0	0	0	0	0
0.587891	0.0263597	0	0	0	0	0	0	0	0	0	0
0.589844	0.0299244	0	0	0	0	0	0	0	0	0	0
0.591797	0.0321339	0	0	0	0	0	0	0	0	0	0
0.59375	0.0329583	0	0	0	0	0	0	0	0	0	0
0.595703	0.0324403	0	0	0	0	0	0	0	0	0	0
0.597656	0.0306815	0	0	0	0	0	0	0	0	0	0
0.599609	0.0278281	0	0	0	0	0	0	0	0	0	0
0.601562	0.0240553	0	0	0	0	0	0	0	0	0	0
0.603516	0.0195564	0	0	0	0	0	0	0	0	0	0
0.605469	0.0145332	0	0	0	0	0	0	0	0	0	0
0.607422	0.00919178	0	0	0	0	0	0	0	0	0	0
0.609375	0.00374069	0	0	0	0	0	0	0	0	0	0
0.611328	-0.00160982	0	0	0	0	0	0	0	0	0	0
0.613281	-0.00664763	0	0	0	0	0	0	0	0	0	0
0.615234	-0.0111616	0	0	0	0	0	0	0	0	0	0
0.617188	-0.0149468	0	0	0	0	0	0	0	0	0	0
0.619141	-0.0178148	0	0	0	0	0	0	0	0	0	0
0.621094	-0.0196057	0	0	0	0	0	0	0	0	0	0
0.623047	-0.0202041	0	0	0	0	0	0	0	0	0	0
0.625	-0.0195538	0	0	0	0	0	0	0	0	0	0
0.626953	-0.0176707	0	0	0	0	0	0	0	0	0	0
0.628906	-0.0146506	0	0	0	0	0	0	0	0	0	0
0.630859	-0.0106697	0	0	0	0	0	0	0	0	0	0
0.632812	-0.00597695	0	0	0	0	0	0	0	0	0	0
0.634766	-0.000877557	0	0	0	0	0	0	0	0	0	0
0.636719	0.00429014	0	0	0	0	0	0	0	0	0	0
0.638672	0.00918336	0	0	0	0	0	0	0	0	0	0
0.640625	0.0134849	0	0	0	0	0	0	0	0	0	0
0.642578	0.0169317	0	0	0	0	0	0	0	0	0	0
0.644531	0.0193382	0	0	0	0	0	0	0	0	0	0
0.646484	0.0206099	0	0	0	0	0	0	0	0	0	0
0.648438	0.0207493	0	0	0	0	0	0	0	0	0	0
0.650391	0.0198492	0	0	0	0	0	0	0	0	0	0
0.652344	0.0180771	0	0	0	0	0	0	0	0	0	0
0.654297	0.0156522	0	0	0	0	0	0	0	0	0	0
0.65625	0.0128186	0	0	0	0	0	0	0	0	0	0
0.658203	0.00981746	0	0	0	0	0	0	0	0	0	0
0.660156	0.00686315	0	0	0	0	0	0	0	0	0	0
0.662109	0.00412482	0	0	0	0	0	0	0	0	0	0
0.664062	0.00171701	0	0	0	0	0	0	0	0	0	0
0.666016	-0.000301147	0	0	0	0	0	0	0	0	0	0
0.667969	-0.00191888	0	0	0	0	0	0	0	0	0	0
0.669922	-0.00316024	0	0	0	0	0	0	0	0	0	0
0.671875	-0.00406745	0	0	0	0	0	0	0	0	0	0
0.673828	-0.00468409	0	0	0	0	0	0	0	0	0	0
0.675781	-0.00504099	0	0	0	0	0	0	0	0	0	0
0.677734	-0.00514836	0	0	0	0	0	0	0	0	0	0
0.679688	-0.0049931	0	0	0	0	0	0	0	0	0	0
0.681641	-0.00454444	0	0	0	0	0	0	0	0	0	0
0.683594	-0.00376377	0	0	0	0	0	0	0	0	0	0
0.685547	-0.00261901	0	0	0	0	0	0	0	0	0	0
0.6875	-0.00109879	0	0	0	0	0	0	0	0	0	0
