t	A01:w01	A02:w02	A03:w03	A04:w04	A05:w05	A06:w06	A07:w07	A08:w08	A09:w09	A10:w10	A11:w11	A12:w12	A13:w13	A14:w14	A15:w15	A16:w16	A17:w17	A18:w18	A19:s111	A20:s112	A21:s211	A22:s212	A23:a11	A24:a21
0.0507812	-0.00509381	-0.00726438	-0.010094	-0.00908756	-0.00934136	-0.0116569	-0.012145	-0.0123267	-0.014294	-0.0111983	-0.0129609	-0.0108719	-0.00904059	-0.00631195	-0.00872993	-0.00632963	-0.00393108	-0.00113833	0.00240916	-0.0116569	0.000750184	-0.00632963	-0.0111983	0.000750184
0.0527344	-0.00421202	-0.00612392	-0.00885427	-0.00803912	-0.00842237	-0.010878	-0.011335	-0.0116715	-0.0133132	-0.0104375	-0.0122734	-0.0100114	-0.00835371	-0.00571585	-0.00773668	-0.0055747	-0.00349396	-0.00120926	0.00194144	-0.010878	0.000677288	-0.0055747	-0.0104375	0.000677288
0.0546875	-0.0030576	-0.00455004	-0.00706476	-0.00652575	-0.00698054	-0.00941074	-0.00980496	-0.0103045	-0.0115135	-0.00904393	-0.0107845	-0.00853539	-0.00713789	-0.00478166	-0.00626993	-0.00448444	-0.00283173	-0.00117481	0.00124508	-0.00941074	0.000501394	-0.00448444	-0.00904393	0.000501394
0.0566406	-0.00173151	-0.00267771	-0.00487143	-0.00466835	-0.0051291	-0.00735307	-0.00765777	-0.00830996	-0.0090009	-0.00711632	-0.00861287	-0.0065639	-0.00550365	-0.00360626	-0.00447345	-0.00317115	-0.00202179	-0.00104821	0.000403047	-0.00735307	0.000246227	-0.00317115	-0.00711632	0.000246227
0.0585938	-0.000334978	-0.000650644	-0.00243473	-0.00259852	-0.00300121	-0.00484037	-0.0050379	-0.00581181	-0.00592923	-0.00478721	-0.00592566	-0.00424623	-0.00358951	-0.00229841	-0.00250793	-0.00175625	-0.00114843	-0.000852942	-0.000471532	-0.00484037	-5.43594e-05	-0.00175625	-0.00478721	-5.43594e-05
0.0605469	0.00103939	0.00139304	8.55923e-05	-0.000447154	-0.000739217	-0.00203407	-0.00211787	-0.00296474	-0.00248814	-0.00221229	-0.00292194	-0.00174952	-0.00154734	-0.000966668	-0.000530005	-0.000355422	-0.000291944	-0.000618815	-0.00125217	-0.00203407	-0.000360131	-0.000355422	-0.00221229	-0.000360131
0.0625	0.00231659	0.00333276	0.00254446	0.00166667	0.00151992	0.000891566	0.000915051	5.67436e-05	0.00111127	0.000443459	0.000188231	0.000758171	0.000474095	0.000294447	0.00132465	0.000934422	0.000481516	-0.000377178	-0.0018186	0.000891566	-0.000631452	0.000934422	0.000443459	-0.000631452
0.0644531	0.00344396	0.00507404	0.00482082	0.00364435	0.00365365	0.00376451	0.00387585	0.00307333	0.00465226	0.00301886	0.00320005	0.00312233	0.00234365	0.00141108	0.00295258	0.00204393	0.00112632	-0.000156403	-0.00207394	0.00376451	-0.000832736	0.00204393	0.00301886	-0.000832736
0.0664062	0.00439084	0.00655258	0.00682396	0.00541234	0.00556195	0.00642526	0.00659359	0.0059123	0.00792909	0.00537014	0.00593412	0.00521541	0.00395858	0.00233704	0.00428963	0.00293484	0.00162059	2.18153e-05	-0.00196135	0.00642526	-0.000938416	0.00293484	0.00537014	-0.000938416
0.0683594	0.00514686	0.00773381	0.0084942	0.00692034	0.00717282	0.00873899	0.00892603	0.00842023	0.0107604	0.00738001	0.00824749	0.00694299	0.0052501	0.00305313	0.00531077	0.00359926	0.00196519	0.000144839	-0.00147307	0.00873899	-0.000935018	0.00359926	0.00738001	-0.000935018
0.0703125	0.00571609	0.00860855	0.00980002	0.00814104	0.00844002	0.0106024	0.0107664	0.010473	0.0130041	0.00896215	0.0100416	0.00824761	0.00618446	0.00356388	0.00602293	0.00405297	0.00217944	0.000210285	-0.00065285	0.0106024	-0.000822961	0.00405297	0.00896215	-0.000822961
0.0722656	0.00611079	0.00918569	0.0107312	0.00906348	0.00934231	0.0119466	0.0120472	0.0119812	0.0145624	0.0100667	0.0112643	0.00910854	0.00675988	0.00389069	0.00645733	0.00432712	0.00229421	0.000224948	0.000409722	0.0119466	-0.000615239	0.00432712	0.0100667	-0.000615239
0.0742188	0.00634372	0.00948361	0.0112913	0.00968599	0.00987768	0.0127382	0.0127418	0.0128933	0.0153847	0.010675	0.011907	0.00953221	0.00699902	0.00406343	0.00665379	0.00445738	0.00234368	0.000201941	0.00159109	0.0127382	-0.000335455	0.00445738	0.010675	-0.000335455
0.0761719	0.00642252	0.00952195	0.0114894	0.0100094	0.0100552	0.0129746	0.0128584	0.0131942	0.0154681	0.0107985	0.0119953	0.00954962	0.00693905	0.00411177	0.00665307	0.00447452	0.00235778	0.00015986	0.00275081	0.0129746	-1.45435e-05	0.00447452	0.0107985	-1.45435e-05
0.078125	0.00634634	0.00931524	0.0113342	0.0100335	0.00989163	0.0126785	0.0124332	0.0129013	0.0148501	0.0104671	0.0115799	0.00920439	0.00662351	0.00405794	0.0064826	0.00439706	0.00235561	0.000116825	0.00375217	0.0126785	0.000313222	0.00439706	0.0104671	0.000313222
0.0800781	0.00610542	0.00886948	0.0108303	0.00975263	0.00940299	0.0118915	0.0115229	0.0120593	0.0136006	0.00972676	0.0107253	0.00854325	0.00609303	0.00391251	0.00615478	0.00422752	0.00234219	8.83341e-05	0.00448048	0.0118915	0.000614941	0.00422752	0.00972676	0.000614941
0.0820312	0.00568283	0.00818226	0.00997895	0.00915718	0.00860465	0.0106671	0.0101948	0.0107313	0.0118117	0.00863123	0.00949979	0.00761247	0.00538051	0.00367296	0.00566459	0.00395322	0.0023078	8.4281e-05	0.00485939	0.0106671	0.0008623	0.00395322	0.00863123	0.0008623
0.0839844	0.0050602	0.00724632	0.00878018	0.00823736	0.00751102	0.00906599	0.00852036	0.00899374	0.00958836	0.00723314	0.00796735	0.00645232	0.00450873	0.00332606	0.00499415	0.00355041	0.002231	0.000107646	0.00486082	0.00906599	0.00103396	0.00355041	0.00723314	0.00103396
0.0859375	0.00422442	0.00605595	0.00724053	0.00698936	0.00613689	0.00715137	0.00657034	0.00692952	0.0070405	0.00558615	0.00618625	0.00509667	0.00349295	0.00285333	0.00412321	0.00299236	0.00208321	0.000154495	0.0045076	0.00715137	0.0011183	0.00299236	0.00558615	0.0011183
0.0878906	0.0031743	0.00461438	0.0053795	0.00542116	0.00450456	0.0049895	0.00441206	0.0046252	0.00427651	0.00374126	0.00420666	0.00357747	0.00234389	0.00223756	0.00303555	0.00225785	0.00183636	0.000214219	0.00386888	0.0049895	0.00111288	0.00225785	0.00374126	0.00111288
0.0898438	0.00192821	0.00294165	0.00323761	0.00356269	0.00264895	0.00264883	0.00211155	0.00216711	0.00140047	0.00175047	0.00207663	0.00192571	0.00107515	0.00147098	0.00173163	0.00134078	0.00146928	0.00027287	0.00304788	0.00264883	0.00102371	0.00134078	0.00175047	0.00102371
0.0917969	0.000525951	0.00108045	0.000881135	0.00146782	0.000622153	0.000202537	-0.000264287	-0.000356436	-0.00148797	-0.000329971	-0.000154376	0.000179529	-0.000291109	0.000561476	0.000237703	0.00025633	0.000974357	0.000314355	0.00216645	0.000202537	0.000864565	0.00025633	-0.000329971	0.000864565
0.09375	-0.000968695	-0.00090085	-0.00159514	-0.000780344	-0.00150168	-0.00226712	-0.00264454	-0.00285542	-0.00429201	-0.00243664	-0.0024271	-0.00161123	-0.00171757	-0.000463247	-0.00139093	-0.000954926	0.000361413	0.000325084	0.00134557	-0.00226712	0.000654578	-0.000954926	-0.00243664	0.000654578
0.0957031	-0.0024718	-0.0029092	-0.00407046	-0.00307262	-0.00362623	-0.00467002	-0.00494921	-0.00523758	-0.0069164	-0.00449419	-0.00466764	-0.00338268	-0.00314951	-0.00155371	-0.00307035	-0.00222769	-0.00034076	0.000295162	0.000688493	-0.00467002	0.000415683	-0.00222769	-0.00449419	0.000415683
0.0976562	-0.00388491	-0.00483178	-0.00640422	-0.00527859	-0.00563622	-0.00690567	-0.00708771	-0.00740635	-0.00926292	-0.00641656	-0.00678623	-0.00505543	-0.00451493	-0.00264257	-0.00469422	-0.00347671	-0.00108615	0.000221491	0.000265121	-0.00690567	0.000170827	-0.00347671	-0.00641656	0.000170827
0.0996094	-0.00510454	-0.00654463	-0.00844729	-0.00725615	-0.0074048	-0.00886714	-0.00896072	-0.00926411	-0.0112336	-0.00810647	-0.00867629	-0.00653982	-0.00572884	-0.00364864	-0.00613952	-0.00460553	-0.00181603	0.000107884	0.000104547	-0.00886714	-5.78165e-05	-0.00460553	-0.00810647	-5.78165e-05
0.101562	-0.00603235	-0.00792404	-0.0100545	-0.00886488	-0.00880325	-0.010445	-0.0104625	-0.0107142	-0.0127292	-0.00946188	-0.0102217	-0.00773811	-0.00670028	-0.00448668	-0.00728655	-0.00551698	-0.00246564	-3.54052e-05	0.000192225	-0.010445	-0.000251412	-0.00551698	-0.00946188	-0.000251412
0.103516	-0.00658631	-0.00885899	-0.0110998	-0.00997877	-0.00971353	-0.011536	-0.0114901	-0.0116664	-0.0136579	-0.0103838	-0.0113043	-0.00855827	-0.0073415	-0.00507647	-0.00802779	-0.00612548	-0.00297183	-0.000191689	0.000475883	-0.011536	-0.000394583	-0.00612548	-0.0103838	-0.000394583
0.105469	-0.00670981	-0.00926317	-0.0114895	-0.0105	-0.0100427	-0.0120523	-0.0119519	-0.0120465	-0.0139401	-0.0107837	-0.0118179	-0.00892067	-0.0075798	-0.00535309	-0.00828266	-0.00636756	-0.0032813	-0.000341415	0.000876307	-0.0120523	-0.000476599	-0.00636756	-0.0107837	-0.000476599
0.107422	-0.00637877	-0.00908467	-0.0111734	-0.0103706	-0.00973272	-0.0119313	-0.0117793	-0.0118015	-0.0135189	-0.0105982	-0.0116805	-0.00876927	-0.00736618	-0.00527531	-0.00800991	-0.00621003	-0.00335684	-0.000464082	0.00130242	-0.0119313	-0.000492454	-0.00621003	-0.0105982	-0.000492454
0.109375	-0.00560355	-0.0083124	-0.0101516	-0.00957894	-0.00877142	-0.0111445	-0.0109367	-0.0109112	-0.0123707	-0.00979638	-0.0108479	-0.00808072	-0.0066849	-0.00483143	-0.00721264	-0.00565463	-0.00318253	-0.000541091	0.00166821	-0.0111445	-0.000441909	-0.00565463	-0.00979638	-0.000441909
0.111328	-0.0044291	-0.0069778	-0.00847512	-0.00816238	-0.00719595	-0.00970399	-0.00943089	-0.00939167	-0.0105116	-0.00838733	-0.00932276	-0.00686979	-0.00555718	-0.00404167	-0.00593877	-0.0047383	-0.00276542	-0.000558496	0.00190759	-0.00970399	-0.000330508	-0.0047383	-0.00838733	-0.000330508
